a,tau,f,lambda
0.1,0.3,0.6,0.7
0.25,0.7,0.05,1.0
0.1,0.65,0.25,0.2
0.1,0.6,0.3,0.3
0.36363636363636365,0.2727272727272727,0.36363636363636365,0.2
0.1,0.7,0.2,0.3
0.35,0.35,0.3,0.2
0.0,0.9,0.1,0.25
0.3,0.4,0.3,0.8
0.3157894736842105,0.47368421052631576,0.21052631578947367,1.0
0.3,0.2,0.5,0.6
0.3181818181818182,0.36363636363636365,0.3181818181818182,0.7
0.4,0.4,0.2,0.75
0.25,0.25,0.5,0.6
0.2,0.3,0.5,0.4
0.3,0.3,0.4,0.1
0.4,0.3,0.3,0.4
0.2,0.6,0.2,0.2
0.25,0.35,0.4,0.84
0.27586206896551724,0.3399014778325123,0.3842364532019704,0.76
0.3,0.4,0.3,0.9
0.1,0.6,0.3,0.4
0.2,0.65,0.15,0.35
0.1,0.5,0.4,0.4
0.3,0.55,0.15,0.8
0.4,0.2,0.4,0.5
0.11,0.71,0.18,0.73
0.2,0.5,0.3,0.9
0.2,0.55,0.25,0.7
0.1,0.7,0.2,0.3
0.2,0.5,0.3,0.6
0.32,0.36,0.32,0.7
0.05,0.9,0.05,0.2
0.3,0.3,0.4,0.6
0.2,0.6,0.2,0.7
0.2,0.6,0.2,0.6
0.34782608695652173,0.2608695652173913,0.391304347826087,0.7
0.2,0.4,0.4,0.3
0.1,0.4,0.5,0.7
0.05,0.7,0.25,0.3
0.2,0.5,0.3,0.7
0.25,0.4,0.35,0.7
0.1,0.6,0.3,0.1
0.2,0.7,0.1,0.2
0.1,0.7,0.2,0.3
0.1,0.7,0.2,1.0
0.3,0.6,0.1,0.2
0.2,0.6,0.2,0.8
0.1,0.8,0.1,0.3
0.1388888888888889,0.4444444444444444,0.4166666666666667,0.5
0.25,0.4375,0.3125,0.6
0.04,0.76,0.2,0.76
0.25,0.35,0.4,0.3
0.2,0.5,0.3,0.6
0.2,0.3,0.5,0.4
0.2,0.4,0.4,0.7
0.15,0.5,0.35,0.5
0.3,0.4,0.3,0.8
0.1,0.8,0.1,0.5
0.25,0.4,0.35,0.3
0.07692307692307693,0.6923076923076923,0.23076923076923078,0.35
0.3,0.4,0.3,0.5
0.3191489361702128,0.2978723404255319,0.3829787234042553,0.5
0.25,0.5,0.25,0.8
0.1,0.6,0.3,0.65
0.30434782608695654,0.34782608695652173,0.34782608695652173,0.85
0.35,0.35,0.3,0.7
0.1,0.8,0.1,0.88
0.1,0.75,0.15,0.3
0.1,0.3,0.6,1.0
0.0,0.7,0.3,0.3
0.3,0.4,0.3,0.8
0.15,0.6,0.25,0.4
0.2,0.45,0.35,0.85
0.1,0.5,0.4,0.7
